사용월,호선명,역ID,지하철역,승차승객수,하차승객수
Dec-21,1호선,1,서울역,1182429,1142388
Dec-21,1호선,10,동묘앞,235271,242269
Dec-21,1호선,2,시청,570037,569533
Dec-21,1호선,3,종각,872179,849374
Dec-21,1호선,4,종로3가,657289,609809
Dec-21,1호선,5,종로5가,579293,573290
Dec-21,1호선,6,동대문,308782,289581
Dec-21,1호선,7,신설동,362626,352755
Dec-21,1호선,8,제기동,444099,450380
Dec-21,1호선,9,청량리(서울시립대입구),531577,532913
Dec-21,2호선,11,시청,586669,551102
Dec-21,2호선,12,을지로입구,1069664,1069622
Dec-21,2호선,13,을지로3가,573964,574273
Dec-21,2호선,14,을지로4가,332430,329662
Dec-21,2호선,15,동대문역사문화공원(DDP),335328,378624
Dec-21,2호선,16,신당,373748,390768
